Model,FPR,TPR
Random Forest,0.03872216844143272,0.24064171122994651
Random Forest,0.03969022265246854,0.24064171122994651
Random Forest,0.03969022265246854,0.24598930481283424
Random Forest,0.041626331074540175,0.2540106951871658
Random Forest,0.04259438528557599,0.25935828877005346
Random Forest,0.04259438528557599,0.2620320855614973
Random Forest,0.044530493707647625,0.26737967914438504
Random Forest,0.046466602129719266,0.26737967914438504
Random Forest,0.0484027105517909,0.28342245989304815
Random Forest,0.049370764762826716,0.2887700534759358
Random Forest,0.05033881897386254,0.2914438502673797
Random Forest,0.051306873184898356,0.3048128342245989
Random Forest,0.051306873184898356,0.31283422459893045
Random Forest,0.051306873184898356,0.3155080213903743
Random Forest,0.05227492739593417,0.3181818181818182
Random Forest,0.05324298160696999,0.3235294117647059
Random Forest,0.05324298160696999,0.3342245989304813
Random Forest,0.05324298160696999,0.3502673796791444
Random Forest,0.05421103581800581,0.35561497326203206
Random Forest,0.05614714424007745,0.3582887700534759
Random Forest,0.057115198451113264,0.3582887700534759
Random Forest,0.057115198451113264,0.3609625668449198
Random Forest,0.06098741529525654,0.36363636363636365
Random Forest,0.061955469506292354,0.3689839572192513
Random Forest,0.06389157792836399,0.3689839572192513
Random Forest,0.06389157792836399,0.37433155080213903
Random Forest,0.06582768635043562,0.37967914438502676
Random Forest,0.06679574056147145,0.37967914438502676
Random Forest,0.06776379477250725,0.3877005347593583
Random Forest,0.06873184898354308,0.3877005347593583
Random Forest,0.0696999031945789,0.39037433155080214
Random Forest,0.07163601161665054,0.393048128342246
Random Forest,0.07357212003872217,0.3983957219251337
Random Forest,0.07647628267182963,0.4037433155080214
Random Forest,0.07744433688286544,0.40641711229946526
Random Forest,0.07744433688286544,0.4090909090909091
Random Forest,0.07841239109390126,0.4090909090909091
Random Forest,0.07841239109390126,0.41711229946524064
Random Forest,0.0803484995159729,0.41711229946524064
Random Forest,0.08131655372700872,0.41711229946524064
Random Forest,0.08228460793804453,0.4197860962566845
Random Forest,0.08422071636011616,0.42513368983957217
Random Forest,0.08615682478218781,0.42780748663101603
Random Forest,0.08906098741529525,0.42780748663101603
Random Forest,0.09196515004840271,0.4304812834224599
Random Forest,0.09390125847047434,0.4358288770053476
Random Forest,0.09390125847047434,0.4385026737967914
Random Forest,0.09583736689254599,0.45187165775401067
Random Forest,0.0968054211035818,0.4572192513368984
Random Forest,0.09777347531461762,0.4572192513368984
Random Forest,0.09970958373668926,0.4572192513368984
Random Forest,0.10067763794772508,0.45989304812834225
Random Forest,0.10358180058083252,0.4625668449197861
Random Forest,0.10648596321393998,0.4625668449197861
Random Forest,0.1074540174249758,0.47058823529411764
Random Forest,0.10842207163601161,0.47058823529411764
Random Forest,0.10842207163601161,0.4732620320855615
Random Forest,0.10842207163601161,0.4786096256684492
Random Forest,0.11132623426911907,0.4839572192513369
Random Forest,0.11423039690222653,0.4839572192513369
Random Forest,0.11519845111326234,0.48663101604278075
Random Forest,0.11713455953533398,0.48663101604278075
Random Forest,0.11907066795740562,0.4946524064171123
Random Forest,0.11907066795740562,0.49732620320855614
Random Forest,0.12003872216844143,0.5026737967914439
Random Forest,0.12294288480154889,0.5026737967914439
Random Forest,0.12681510164569215,0.5026737967914439
Random Forest,0.12681510164569215,0.5133689839572193
Random Forest,0.12778315585672798,0.5187165775401069
Random Forest,0.13068731848983542,0.5213903743315508
Random Forest,0.1335914811229429,0.5347593582887701
Random Forest,0.1345595353339787,0.5401069518716578
Random Forest,0.1355275895450145,0.5427807486631016
Random Forest,0.13746369796708616,0.5454545454545454
Random Forest,0.1393998063891578,0.5508021390374331
Random Forest,0.14230396902226525,0.5508021390374331
Random Forest,0.14327202323330107,0.5588235294117647
Random Forest,0.14327202323330107,0.5614973262032086
Random Forest,0.1452081316553727,0.5668449197860963
Random Forest,0.14811229428848016,0.5748663101604278
Random Forest,0.14908034849951599,0.5775401069518716
Random Forest,0.1510164569215876,0.5802139037433155
Random Forest,0.15295256534365925,0.5855614973262032
Random Forest,0.15488867376573087,0.5855614973262032
